# == pyFAI calibration ==
# Distance Sample to Detector: 0.10401047200818728 m
# PONI: 2.723e-01, 1.277e-01 m
# Rotations: -0.007054 -0.003206 0.000160 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 104.014 mm
# Center: x=746.682, y=1580.912 pix
# Tilt: 0.444 deg  TiltPlanRot: -24.440 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 3.5410000000000004e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> C:/Users/au714043/OneDrive - Aarhus Universitet/Desktop/pyfai_notebook/npy/scan-0921_avg.dat
#        q_A^-1             I 
  3.354750e+00    4.311387e+04
  3.365250e+00    4.498149e+04
  3.375750e+00    4.597249e+04
  3.386250e+00    4.456728e+04
  3.396750e+00    4.509455e+04
  3.407250e+00    4.146822e+04
  3.417750e+00    3.952080e+04
  3.428250e+00    3.564410e+04
  3.438750e+00    2.998835e+04
  3.449250e+00    2.505497e+04
  3.459750e+00    1.899472e+04
  3.470250e+00    1.296418e+04
  3.480750e+00    8.490048e+03
  3.491250e+00    5.488872e+03
  3.501750e+00    3.700490e+03
  3.512250e+00    2.939984e+03
  3.522750e+00    2.581630e+03
  3.533250e+00    2.461257e+03
  3.543750e+00    2.424126e+03
  3.554250e+00    2.439184e+03
  3.564750e+00    2.513187e+03
  3.575250e+00    2.840231e+03
  3.585750e+00    3.538266e+03
  3.596250e+00    4.439587e+03
  3.606750e+00    6.626176e+03
  3.617250e+00    8.697510e+03
  3.627750e+00    1.224469e+04
  3.638250e+00    1.472559e+04
  3.648750e+00    1.879288e+04
  3.659250e+00    1.996854e+04
  3.669750e+00    2.239081e+04
  3.680250e+00    2.412943e+04
  3.690750e+00    2.401132e+04
  3.701250e+00    2.507795e+04
  3.711750e+00    2.459357e+04
  3.722250e+00    2.437603e+04
  3.732750e+00    2.264523e+04
  3.743250e+00    2.083784e+04
  3.753750e+00    1.855506e+04
  3.764250e+00    1.550413e+04
  3.774750e+00    1.286263e+04
  3.785250e+00    8.579915e+03
  3.795750e+00    6.015438e+03
  3.806250e+00    4.555674e+03
  3.816750e+00    3.472827e+03
  3.827250e+00    2.619569e+03
  3.837750e+00    2.371967e+03
  3.848250e+00    2.263464e+03
  3.858750e+00    2.227983e+03
  3.869250e+00    2.190771e+03
  3.879750e+00    2.173101e+03
  3.890250e+00    2.165174e+03
  3.900750e+00    2.159393e+03
  3.911250e+00    2.147373e+03
  3.921750e+00    2.152821e+03
  3.932250e+00    2.138029e+03
  3.942750e+00    2.139772e+03
  3.953250e+00    2.133483e+03
  3.963750e+00    2.128368e+03
  3.974250e+00    2.139875e+03
  3.984750e+00    2.122333e+03
  3.995250e+00    2.133345e+03
  4.005750e+00    2.129043e+03
  4.016250e+00    2.124054e+03
  4.026750e+00    2.123996e+03
  4.037250e+00    2.122922e+03
