# == pyFAI calibration ==
# Distance Sample to Detector: 0.10401047200818728 m
# PONI: 2.723e-01, 1.277e-01 m
# Rotations: -0.007054 -0.003206 0.000160 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 104.014 mm
# Center: x=746.682, y=1580.912 pix
# Tilt: 0.444 deg  TiltPlanRot: -24.440 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 3.5410000000000004e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> C:/Users/au714043/OneDrive - Aarhus Universitet/Desktop/pyfai_notebook/npy/scan-0921_avg.dat
#        q_A^-1             I 
  4.320750e+00    1.015464e+04
  4.331250e+00    8.536756e+03
  4.341750e+00    7.213888e+03
  4.352250e+00    5.944673e+03
  4.362750e+00    4.570341e+03
  4.373250e+00    3.761958e+03
  4.383750e+00    3.250500e+03
  4.394250e+00    2.888816e+03
  4.404750e+00    3.080387e+03
  4.415250e+00    3.734896e+03
  4.425750e+00    4.862658e+03
  4.436250e+00    6.796360e+03
  4.446750e+00    9.527604e+03
  4.457250e+00    1.358778e+04
  4.467750e+00    1.752843e+04
  4.478250e+00    2.202298e+04
  4.488750e+00    2.513025e+04
  4.499250e+00    2.827616e+04
  4.509750e+00    2.971347e+04
  4.520250e+00    3.240724e+04
  4.530750e+00    3.170141e+04
  4.541250e+00    3.048049e+04
  4.551750e+00    3.028215e+04
  4.562250e+00    2.942665e+04
  4.572750e+00    2.778473e+04
  4.583250e+00    2.481107e+04
  4.593750e+00    2.011045e+04
  4.604250e+00    1.508887e+04
  4.614750e+00    1.111180e+04
  4.625250e+00    7.988516e+03
  4.635750e+00    5.939554e+03
  4.646250e+00    4.820004e+03
  4.656750e+00    3.992424e+03
  4.667250e+00    4.105941e+03
  4.677750e+00    5.285492e+03
  4.688250e+00    6.467230e+03
  4.698750e+00    9.246620e+03
  4.709250e+00    1.241558e+04
  4.719750e+00    1.548296e+04
  4.730250e+00    1.768639e+04
  4.740750e+00    2.092364e+04
  4.751250e+00    2.283562e+04
  4.761750e+00    2.287524e+04
  4.772250e+00    2.274530e+04
  4.782750e+00    2.225093e+04
  4.793250e+00    2.365959e+04
  4.803750e+00    2.116421e+04
  4.814250e+00    2.064744e+04
  4.824750e+00    1.874507e+04
  4.835250e+00    1.594911e+04
  4.845750e+00    1.301807e+04
  4.856250e+00    9.672603e+03
  4.866750e+00    7.055337e+03
  4.877250e+00    5.530298e+03
  4.887750e+00    4.494215e+03
  4.898250e+00    4.162735e+03
  4.908750e+00    4.203118e+03
  4.919250e+00    4.789494e+03
  4.929750e+00    6.237319e+03
  4.940250e+00    8.088045e+03
  4.950750e+00    9.758104e+03
  4.961250e+00    1.144694e+04
  4.971750e+00    1.341967e+04
  4.982250e+00    1.429566e+04
  4.992750e+00    1.570761e+04
  5.003250e+00    1.549562e+04
  5.013750e+00    1.561378e+04
  5.024250e+00    1.523783e+04
  5.034750e+00    1.496048e+04
  5.045250e+00    1.467564e+04
  5.055750e+00    1.320721e+04
  5.066250e+00    1.183766e+04
  5.076750e+00    9.465115e+03
  5.087250e+00    7.362121e+03
  5.097750e+00    5.655684e+03
  5.108250e+00    4.525372e+03
  5.118750e+00    3.769081e+03
  5.129250e+00    3.306579e+03
  5.139750e+00    3.096577e+03
  5.150250e+00    3.046151e+03
  5.160750e+00    3.344391e+03
  5.171250e+00    3.551033e+03
  5.181750e+00    3.886799e+03
  5.192250e+00    4.235659e+03
  5.202750e+00    4.410015e+03
  5.213250e+00    4.618715e+03
  5.223750e+00    4.839500e+03
  5.234250e+00    4.739235e+03
  5.244750e+00    4.692079e+03
  5.255250e+00    4.709017e+03
  5.265750e+00    4.516694e+03
  5.276250e+00    4.232241e+03
  5.286750e+00    4.056149e+03
  5.297250e+00    3.703860e+03
  5.307750e+00    3.352239e+03
  5.318250e+00    3.252583e+03
  5.328750e+00    3.162201e+03
  5.339250e+00    3.455637e+03
  5.349750e+00    3.631933e+03
  5.360250e+00    4.272400e+03
  5.370750e+00    5.277281e+03
  5.381250e+00    6.128742e+03
  5.391750e+00    7.957520e+03
  5.402250e+00    8.790945e+03
  5.412750e+00    9.407040e+03
  5.423250e+00    1.058599e+04
  5.433750e+00    1.063467e+04
  5.444250e+00    1.120708e+04
  5.454750e+00    1.072635e+04
  5.465250e+00    1.045078e+04
  5.475750e+00    9.687904e+03
  5.486250e+00    9.164792e+03
  5.496750e+00    8.446555e+03
  5.507250e+00    7.242960e+03
  5.517750e+00    6.085063e+03
  5.528250e+00    5.252048e+03
  5.538750e+00    4.973587e+03
  5.549250e+00    5.038787e+03
  5.559750e+00    5.843883e+03
  5.570250e+00    7.195555e+03
  5.580750e+00    9.122827e+03
  5.591250e+00    1.150074e+04
  5.601750e+00    1.447947e+04
  5.612250e+00    1.594260e+04
  5.622750e+00    1.783323e+04
  5.633250e+00    1.869733e+04
  5.643750e+00    1.910206e+04
  5.654250e+00    1.954669e+04
  5.664750e+00    1.948582e+04
  5.675250e+00    1.898863e+04
  5.685750e+00    1.817319e+04
  5.696250e+00    1.585592e+04
  5.706750e+00    1.427963e+04
  5.717250e+00    1.159625e+04
  5.727750e+00    8.194646e+03
  5.738250e+00    6.736618e+03
  5.748750e+00    5.111606e+03
  5.759250e+00    4.106668e+03
  5.769750e+00    3.517387e+03
  5.780250e+00    2.932454e+03
  5.790750e+00    2.694625e+03
  5.801250e+00    2.570767e+03
  5.811750e+00    2.526194e+03
  5.822250e+00    2.519685e+03
  5.832750e+00    2.517564e+03
  5.843250e+00    2.506976e+03
  5.853750e+00    2.508158e+03
  5.864250e+00    2.506528e+03
  5.874750e+00    2.498124e+03
  5.885250e+00    2.497496e+03
  5.895750e+00    2.502141e+03
