File_name   Scan_number     r_wp  scale_total scale_LFP    lp1_a       lp1_b       lp1_c       rbragg_1     wp_1     lp2_a        lp2_b        lp2_c        rbragg_2     wp_2
scan-0116_TT_00071.xy  00071      6.17683 0.000000062936     0.08162    10.33092     6.00984     4.69788     2.46571     9.01662     9.84386     5.80502     4.78802     2.79378    90.98338
scan-0116_TT_00072.xy  00072      6.05691 0.000000064073     0.08474    10.33219     6.00973     4.69679     2.82493     9.35697     9.84370     5.80502     4.78801     2.76005    90.64303
scan-0116_TT_00073.xy  00073      6.11046 0.000000064021     0.08952    10.33220     6.01013     4.69743     2.35216     9.88138     9.84368     5.80498     4.78804     2.85994    90.11862
scan-0116_TT_00074.xy  00074      6.27776 0.000000062832     0.11145    10.33151     6.01026     4.69784     3.07899    12.27231     9.84370     5.80496     4.78809     2.96410    87.72769
scan-0116_TT_00075.xy  00075      6.25411 0.000000063835     0.11966    10.33129     6.00999     4.69790     3.43227    13.16277     9.84390     5.80502     4.78804     2.84772    86.83723
scan-0116_TT_00076.xy  00076      6.11001 0.000000065236     0.12967    10.33225     6.01056     4.69728     3.33636    14.24877     9.84372     5.80505     4.78806     2.85920    85.75123
scan-0116_TT_00077.xy  00077      6.03095 0.000000066640     0.14251    10.33257     6.01041     4.69732     2.61144    15.63653     9.84378     5.80505     4.78807     2.72901    84.36347
scan-0116_TT_00078.xy  00078      6.10944 0.000000066927     0.14446    10.33187     6.00999     4.69770     3.87885    15.84676     9.84379     5.80500     4.78804     2.70856    84.15324
scan-0116_TT_00079.xy  00079      6.00266 0.000000069724     0.14546    10.33270     6.01001     4.69772     3.95811    15.95537     9.84386     5.80502     4.78801     2.75038    84.04463
scan-0116_TT_00080.xy  00080      5.96054 0.000000071406     0.16391    10.33186     6.01036     4.69789     3.48305    17.94159     9.84390     5.80506     4.78795     2.71604    82.05841
scan-0116_TT_00081.xy  00081      5.96041 0.000000068532     0.18087    10.33168     6.01014     4.69783     3.02615    19.75966     9.84381     5.80493     4.78800     2.67171    80.24034
scan-0116_TT_00082.xy  00082      6.19705 0.000000068145     0.18588    10.33232     6.01029     4.69759     2.75614    20.29630     9.84369     5.80499     4.78799     2.76286    79.70370
scan-0116_TT_00083.xy  00083      6.05025 0.000000068488     0.18089    10.33178     6.01001     4.69790     2.64047    19.76167     9.84367     5.80504     4.78802     2.98708    80.23833
scan-0116_TT_00084.xy  00084      5.98182 0.000000068616     0.17253    10.33172     6.01035     4.69769     3.07736    18.86658     9.84368     5.80508     4.78797     2.65907    81.13342
scan-0116_TT_00085.xy  00085      6.32903 0.000000068588     0.16274    10.33141     6.01031     4.69781     3.28582    17.81598     9.84384     5.80494     4.78801     2.53918    82.18402
scan-0116_TT_00086.xy  00086      5.96566 0.000000069274     0.16869    10.33187     6.01057     4.69765     3.07319    18.45515     9.84372     5.80499     4.78802     2.65897    81.54485
